Name,Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wii Sports,2006,41.36,28.96,3.77,8.45,82.53
Super Mario Bros.,1985,29.08,3.58,6.81,0.77,40.24
Mario Kart Wii,2008,15.68,12.76,3.79,3.29,35.52
Wii Sports Resort,2009,15.61,10.93,3.28,2.95,32.77
Pokemon Red/Pokemon Blue,1996,11.27,8.89,10.22,1,31.37
Tetris,1989,23.2,2.26,4.22,0.58,30.26
New Super Mario Bros.,2006,11.28,9.14,6.5,2.88,29.8
Wii Play,2006,13.96,9.18,2.93,2.84,28.92
New Super Mario Bros. Wii,2009,14.44,6.94,4.7,2.24,28.32
Duck Hunt,1984,26.93,0.63,0.28,0.47,28.31
Nintendogs,2005,9.05,10.95,1.93,2.74,24.67
Mario Kart DS,2005,9.71,7.47,4.13,1.9,23.21
Pokemon Gold/Pokemon Silver,1999,9,6.18,7.2,0.71,23.1
Wii Fit,2007,8.92,8.03,3.6,2.15,22.7
Kinect Adventures!,2010,15,4.89,0.24,1.69,21.81
Wii Fit Plus,2009,9.01,8.49,2.53,1.77,21.79
Grand Theft Auto V,2013,7.02,9.09,0.98,3.96,21.04
Grand Theft Auto: San Andreas,2004,9.43,0.4,0.41,10.57,20.81
Super Mario World,1990,12.78,3.75,3.54,0.55,20.61
Brain Age: Train Your Brain in Minutes a Day,2005,4.74,9.2,4.16,2.04,20.15
Pokemon Diamond/Pokemon Pearl,2006,6.38,4.46,6.04,1.36,18.25
Super Mario Land,1989,10.83,2.71,4.18,0.42,18.14
Super Mario Bros. 3,1988,9.54,3.44,3.84,0.46,17.28
Grand Theft Auto V,2013,9.66,5.14,0.06,1.41,16.27
Grand Theft Auto: Vice City,2002,8.41,5.49,0.47,1.78,16.15
Pokemon Ruby/Pokemon Sapphire,2002,6.06,3.9,5.38,0.5,15.85
Brain Age 2: More Training in Minutes a Day,2005,3.43,5.35,5.32,1.18,15.29
Pokemon Black/Pokemon White,2010,5.51,3.17,5.65,0.8,15.14
Gran Turismo 3: A-Spec,2001,6.85,5.09,1.87,1.16,14.98
Call of Duty: Modern Warfare 3,2011,9.04,4.24,0.13,1.32,14.73
Pokémon Yellow: Special Pikachu Edition,1998,5.89,5.04,3.12,0.59,14.64
Call of Duty: Black Ops 3,2015,6.03,5.86,0.36,2.38,14.63
Call of Duty: Black Ops,2010,9.7,3.68,0.11,1.13,14.61
Pokemon X/Pokemon Y,2013,5.28,4.19,4.35,0.78,14.6
Call of Duty: Black Ops II,2012,4.99,5.73,0.65,2.42,13.79
Call of Duty: Black Ops II,2012,8.25,4.24,0.07,1.12,13.67
Call of Duty: Modern Warfare 2,2009,8.52,3.59,0.08,1.28,13.47
Call of Duty: Modern Warfare 3,2011,5.54,5.73,0.49,1.57,13.32
Grand Theft Auto III,2001,6.99,4.51,0.3,1.3,13.1
